time,lyrics
0,
3617,소리 없는 소리 불가사의
7133,그때 바람 흔들거려
10900,몸부림치던 등을 밀어주네
17732,
17733,넘고 싶은 벽 gravity
21267,그때 날개 반짝거려
24967,이제 과부하는 차원 변환 transforming
32367,
45967,아무도 본 적 없는 경치로
49500,아무도 시야에 없는 세계로
53033,한계를 뛰어넘은 이차원 on the road
56550,선택해 가속해 가자 다른 리얼을 향해
60966,
60967,아무도 가로막지 않고
63617,아무것도 두려워할 것 없는 진화로
67150,표지판 없는 영역 속으로
70683,이행 불가능을 가능으로 바꿔서
74649,
74633,Go 눈앞의 세계선을 추월해서
86817,
103517,보이지 않은 빛에 이끌려 벡터를 바꾸어 가자
117067,끝없는 순간 생명까지도 레벨을 올려
129150,똑바로 곧게
131083,
134417,자아 달려라 기적
144766,
144767,소리 없는 소리 울려퍼져
148317,저 먼 하늘 번쩍거려
152067,그 영혼 나를 밀어주네
158916,
158917,뛰어넘었던 벽 그 순간
162433,무수히 많은 봐봐 웅성거려
166133,이제 새로운 우주 미지의 골을 향해
173600,
